t;v
9.52;90.395
9.53;90.425
9.54;90.425
9.55;90.415
9.56;90.415
9.57;90.38
9.58;90.38
9.59;90.345
9.6;90.345
9.61;90.335
9.62;90.335
9.63;90.34
9.64;90.34
9.65;90.28
9.66;90.28
9.67;90.255
9.68;90.255
9.69;90.245
9.7;90.245
9.71;90.25
9.72;90.25
9.73;90.195
9.74;90.195
9.75;90.155
9.76;90.155
9.77;90.105
9.78;90.105
9.79;90.11
9.8;90.11
9.81;90.13
9.82;90.13
9.83;90.06
9.84;90.06
9.85;90.025
9.86;90.025
9.87;90.055
9.88;90.055
9.89;90.05
9.9;90.05
9.91;90.04
9.92;90.04
9.93;89.995
9.94;89.995
9.95;89.96
9.96;89.96
9.97;89.96
9.98;89.96
9.99;89.935
10;89.935
10.01;89.87
10.02;89.87
10.03;89.89
10.04;89.89
10.05;89.91
10.06;89.91
10.07;89.91
10.08;89.91
10.09;89.86
10.1;89.86
10.11;89.88
10.12;89.88
10.13;89.85
10.14;89.85
10.15;89.86
10.16;89.86
10.17;89.79
10.18;89.79
10.19;89.725
10.2;89.725
10.21;89.745
10.22;89.745
10.23;89.755
10.24;89.755
10.25;89.72
10.26;89.72
10.27;89.67
10.28;89.67
10.29;89.7
10.3;89.7
10.31;89.685
10.32;89.685
10.33;89.67
10.34;89.67
10.35;89.595
10.36;89.595
10.37;89.57
10.38;89.57
10.39;89.595
10.4;89.595
10.41;89.56
10.42;89.56
10.43;89.555
10.44;89.555
10.45;89.555
10.46;89.555
10.47;89.565
10.48;89.565
10.49;89.535
10.5;89.535
10.51;89.445
10.52;89.445
10.53;89.405
10.54;89.405
10.55;89.43
10.56;89.43
10.57;89.405
10.58;89.405
10.59;89.4
10.6;89.4
10.61;89.315
10.62;89.315
10.63;89.345
10.64;89.345
10.65;89.36
10.66;89.36
10.67;89.36
10.68;89.36
10.69;89.295
10.7;89.295
10.71;89.235
10.72;89.235
10.73;89.25
10.74;89.25
10.75;89.24
10.76;89.24
10.77;89.225
10.78;89.225
10.79;89.165
10.8;89.165
10.81;89.165
10.82;89.165
10.83;89.14
10.84;89.14
10.85;89.145
10.86;89.145
10.87;89.095
10.88;89.095
10.89;89.125
10.9;89.125
10.91;89.085
10.92;89.085
10.93;89.085
10.94;89.085
10.95;88.99
10.96;88.99
10.97;89.025
10.98;89.025
10.99;89
11;89
11.01;88.98
11.02;88.98
11.03;88.95
11.04;88.95
11.05;88.97
11.06;88.97
